AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,date,period,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0-17 years,171.46,13.55,0.23,04-23-2020,1,,,
18-44 years,1554.45,153.69,12.88,04-23-2020,1,,,
45-64 years,2529.03,630.34,113.37,04-23-2020,1,,,
65-74 years,2552.64,1192.5,364.17,04-23-2020,1,,,
75 and older years,2976.74,1830.07,909.18,04-23-2020,1,,,
Citywide total,1687.8,437.24,122.52,04-23-2020,1,,,
0-17 years,180.44,13.84,0.29,04-24-2020,1,,,
18-44 years,1600.77,159.33,13.44,04-24-2020,1,,,
45-64 years,2611.61,650.13,117.6,04-24-2020,1,,,
65-74 years,2627.88,1234.27,382.2,04-24-2020,1,,,
75 and older years,3058.09,1899.17,949.95,04-24-2020,1,,,
Citywide total,1740.01,452.39,127.95,04-24-2020,1,,,
0-17 years,189.7,15.17,0.29,04-25-2020,1,,,
18-44 years,1648.25,166.31,13.59,04-25-2020,1,,,
45-64 years,2694.0,674.79,119.55,04-25-2020,1,,,
65-74 years,2702.12,1287.77,390.06,04-25-2020,1,,,
75 and older years,3141.28,1979.07,970.79,04-25-2020,1,,,
Citywide total,1792.84,471.15,130.51,04-25-2020,1,,,
0-17 years,194.62,15.17,0.29,04-26-2020,1,,,
18-44 years,1675.94,166.54,14.01,04-26-2020,1,,,
45-64 years,2744.49,675.52,124.66,04-26-2020,1,,,
65-74 years,2746.03,1290.48,406.66,04-26-2020,1,,,
75 and older years,3188.99,1983.27,1019.24,04-26-2020,1,,,
Citywide total,1824.13,471.92,136.45,04-26-2020,1,,,
0-17 years,201.98,15.63,0.29,04-27-2020,1,,,
18-44 years,1705.26,167.58,14.21,04-27-2020,1,,,
45-64 years,2799.35,681.7,127.43,04-27-2020,1,,,
65-74 years,2795.67,1304.79,412.52,04-27-2020,1,,,
75 and older years,3242.38,2009.78,1045.39,04-27-2020,1,,,
Citywide total,1858.61,476.86,139.4,04-27-2020,1,,,
0-17 years,205.86,15.81,0.29,04-28-2020,1,,,
18-44 years,1722.48,169.01,14.3,04-28-2020,1,,,
45-64 years,2827.9,688.51,128.84,04-28-2020,1,,,
65-74 years,2824.85,1321.67,416.24,04-28-2020,1,,,
75 and older years,3274.19,2049.82,1055.26,04-28-2020,1,,,
Citywide total,1877.82,483.14,140.74,04-28-2020,1,,,
0-17 years,210.26,16.27,0.35,04-29-2020,1,,,
18-44 years,1746.93,174.26,14.75,04-29-2020,1,,,
45-64 years,2863.6,698.72,133.36,04-29-2020,1,,,
65-74 years,2860.18,1345.12,432.97,04-29-2020,1,,,
75 and older years,3323.74,2082.54,1099.32,04-29-2020,1,,,
Citywide total,1903.44,491.93,146.3,04-29-2020,1,,,
0-17 years,214.89,16.33,0.35,04-30-2020,1,,,
18-44 years,1771.2,175.6,15.05,04-30-2020,1,,,
45-64 years,2904.36,702.66,136.33,04-30-2020,1,,,
65-74 years,2899.8,1355.99,443.56,04-30-2020,1,,,
75 and older years,3383.34,2106.13,1124.73,04-30-2020,1,,,
Citywide total,1931.38,495.88,149.68,04-30-2020,1,,,
0-17 years,219.0,16.5,0.35,05-01-2020,1,,,
18-44 years,1794.92,177.79,15.76,05-01-2020,1,,,
45-64 years,2945.07,711.95,141.44,05-01-2020,1,,,
65-74 years,2937.56,1379.74,460.15,05-01-2020,1,,,
75 and older years,3440.93,2167.19,1158.37,05-01-2020,1,,,
Citywide total,1958.68,505.04,154.78,05-01-2020,1,,,
0-17 years,225.66,16.56,0.35,05-02-2020,1,,,
18-44 years,1821.42,179.01,15.85,05-02-2020,1,,,
45-64 years,2987.48,716.37,142.85,05-02-2020,1,,,
65-74 years,2977.04,1388.75,466.3,05-02-2020,1,,,
75 and older years,3481.88,2185.84,1173.18,05-02-2020,1,,,
Citywide total,1987.0,508.59,156.64,05-02-2020,1,,,
0-17 years,232.96,16.62,0.35,05-03-2020,1,,,
18-44 years,1843.17,179.66,15.97,05-03-2020,1,,,
45-64 years,3022.16,719.2,144.6,05-03-2020,1,,,
65-74 years,3007.22,1395.9,471.45,05-03-2020,1,,,
75 and older years,3514.05,2197.18,1189.27,05-03-2020,1,,,
Citywide total,2010.36,510.9,158.58,05-03-2020,1,,,
0-17 years,236.72,16.85,0.35,05-04-2020,1,,,
18-44 years,1861.24,180.14,16.17,05-04-2020,1,,,
45-64 years,3049.54,720.7,147.27,05-04-2020,1,,,
65-74 years,3038.83,1401.62,481.03,05-04-2020,1,,,
75 and older years,3556.1,2205.4,1205.36,05-04-2020,1,,,
Citywide total,2030.47,512.52,161.17,05-04-2020,1,,,
0-17 years,239.56,17.14,0.35,05-05-2020,1,,,
18-44 years,1874.03,181.14,16.29,05-05-2020,1,,,
45-64 years,3070.06,725.52,149.7,05-05-2020,1,,,
65-74 years,3058.57,1411.92,486.76,05-05-2020,1,,,
75 and older years,3582.98,2228.8,1222.54,05-05-2020,1,,,
Citywide total,2044.63,516.54,163.41,05-05-2020,1,,,
0-17 years,242.51,17.55,0.35,05-06-2020,2,,,
18-44 years,1891.16,182.36,16.53,05-06-2020,2,,,
45-64 years,3096.72,729.9,151.7,05-06-2020,2,,,
65-74 years,3088.18,1421.22,494.62,05-06-2020,2,,,
75 and older years,3616.07,2245.26,1242.65,05-06-2020,2,,,
Citywide total,2063.26,520.03,165.95,05-06-2020,2,,,
0-17 years,245.87,17.6,0.35,05-07-2020,2,,,
18-44 years,1906.53,182.54,16.8,05-07-2020,2,,,
45-64 years,3119.72,731.16,154.18,05-07-2020,2,,,
65-74 years,3113.92,1423.94,502.2,05-07-2020,2,,,
75 and older years,3651.17,2248.18,1262.76,05-07-2020,2,,,
Citywide total,2080.18,520.84,168.62,05-07-2020,2,,,
0-17 years,249.58,17.95,0.35,05-08-2020,2,,,
18-44 years,1920.27,183.1,17.06,05-08-2020,2,,,
45-64 years,3141.71,733.15,156.56,05-08-2020,2,,,
65-74 years,3140.96,1428.8,512.22,05-08-2020,2,,,
75 and older years,3688.1,2260.8,1280.86,05-08-2020,2,,,
Citywide total,2096.57,522.85,171.32,05-08-2020,2,,,
0-17 years,254.61,18.07,0.41,05-09-2020,2,,,
18-44 years,1934.75,185.71,17.12,05-09-2020,2,,,
45-64 years,3165.39,737.63,157.68,05-09-2020,2,,,
65-74 years,3163.99,1439.96,515.36,05-09-2020,2,,,
75 and older years,3718.09,2275.97,1289.09,05-09-2020,2,,,
Citywide total,2113.18,526.94,172.43,05-09-2020,2,,,
0-17 years,258.21,18.82,0.46,05-10-2020,2,,,
18-44 years,1948.1,189.01,17.3,05-10-2020,2,,,
45-64 years,3187.96,746.92,161.28,05-10-2020,2,,,
65-74 years,3184.01,1454.83,524.09,05-10-2020,2,,,
