indicator,group,state,subgroup,phase,time_period,time_period_label,time_period_start_date,time_period_end_date,value,lowci,highci,confidence_interval,quartile_range,age
Symptoms of Depressive Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7,18 - 29 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0,18 - 29 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,41.4,36.7,46.1,36.7 - 46.1,36.8 - 41.4,18 - 29 years
Symptoms of Depressive Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,29.2,24.2,34.6,24.2 - 34.6,25.7 - 35.5,18 - 29 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,33,27.7,38.5,27.7 - 38.5,31.6 - 38.3,18 - 29 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,36.9,31.6,42.4,31.6 - 42.4,36.1 - 48.4,18 - 29 years
Symptoms of Depressive Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,23.8,20,28,20.0 - 28.0,23.3-25.6,18 - 29 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,26.8,23.1,30.8,23.1 - 30.8,25.3-27.4,18 - 29 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,34.9,30.5,39.5,30.5 - 39.5,32.6-34.9,18 - 29 years
Symptoms of Depressive Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,23.7,20,27.8,20.0 - 27.8,23.0-25.8,18 - 29 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6,18 - 29 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,34.4,30.5,38.5,30.5 - 38.5,33.2-35.5,18 - 29 years
Symptoms of Depressive Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,24.5,21.3,27.9,21.3 - 27.9,24.4-26.8,18 - 29 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,29.8,26.4,33.4,26.4 - 33.4,29.7-31.7,18 - 29 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,34.8,31.6,38.2,31.6 - 38.2,34.3-36.9,18 - 29 years
Symptoms of Depressive Disorder,By State,New York,New York,1,6,June 4 - June 9,2020-06-04T00:00:00.000,2020-06-09T00:00:00.000,28.5,24,33.2,24.0 - 33.2,27.3-30.3,18 - 29 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,6,June 4 - June 9,2020-06-04T00:00:00.000,2020-06-09T00:00:00.000,36.3,30.9,41.9,30.9 - 41.9,32.8-36.3,18 - 29 years
