title,rate
covid 19 pandemic,0
href_rel nofollow,1
covid 19 cases,0
true_href rel,1
covid 19 crisis,0
rel_nofollow twitter,1
covid 19 patients,0
coronavirus covid 19,0
pandemi covid 19,0
due covid 19,0
nofollow_twitter web,1
twitter_web app,1
covid 19 via,0
covid 19 lockdown,0
fight covid 19,0
amid covid 19,0
positive covid 19,0
covid 19 relief,0
covid 19 outbreak,0
covid 19 response,0
covid 19 deaths,0
bbc_news coronavirus,1
covid 19 testing,0
sign_petition via,1
casos covid 19,0
masa_pandemi covid,0
covid 19 vaccine,0
coronavirus task_force,1
new covid 19,0
23_04 2020,1
covid 19 coronavirus,0
petition via change,1
covid 19 sign,0
covid 19 death,0
19 sign_petition,1
new york_times,1
covid 19 dprriapresiasipolri,0
cases covid 19,0
covid 19 di,0
covid 19 virus,0
da covid 19,0
impact covid 19,0
stay_at home,1
spread covid 19,0
prices covid 19,0
du covid 19,0
give_subscribers payment,1
subscribers_payment break,1
pandemia covid 19,0
payment_break decrease,1
dstv_give subscribers,1
break_decrease prices,1
decrease_prices covid,0
dstv_dstv give,1
test positive coronavirus,1
di_masa pandemi,1
response covid 19,0
treatment covid 19,0
april_23 2020,1
tindak_tegas pelaku,1
tegas_pelaku kejahatan,1
pelaku_kejahatan di,1
kejahatan_di masa,1
polri_tindak tegas,1
covid 19 update,0
nofollow_twitter android,1
amid coronavirus pandemic,1
new york_city,1
ultimas_24 horas,1
towards_cashless society,1
tested positive coronavirus,1
warren_oldest brother,1
na covid 19,0
new coronavirus cases,1
cashless_society know,1
world health_organization,1
died covid 19,0
elizabeth_warren oldest,1
covid 19 test,0
fighting covid 19,0
covid 19 via,0
suho_bizbizeyeteriz covid,0
manu_foraprior david,1
prior_jorge babu,1
david_mike lindell,1
cdtv covid 19 prior,0
trump suho_bizbizeyeteriz,1
foraprior_david mike,1
jorge_babu manu,1
mike_lindell made,1
covid cdtv covid 19,0
covid 19 prior_jorge,0
babu_manu foraprior,1
crisis covid 19,0
test positive covid,0
brother_dies coronavirus,1
gt_gt gt,1
lindell_made pillow,1
1trenggalek polri_tindak,1
23 april 2020,1
cats new york,1
covid 19 patient,0
ararcoronasaviours ararservinghumanity covid19,0
virus covid 19,0
covid 19 em,0
disinfectant_beat coronavirus,1
post covid 19,0
injection_disinfectant beat,1
suggests_injection disinfectant,1
new markets_au,1
trump suggests_injection,1
coronavirus live_updates,1
live staysafe coronavirus,1
beat coronavirus clean,1
covid 19 ini,0
coronavirus clean_lungs,1
oldest_brother dies,1
amid coronavirus crisis,1
covid 19 related,0
treat covid 19,0
23_abril 2020,1
tested positive covid,0
new york state,1
coronavirus death_toll,1
at_home order,1
covid 19 budut,0
