words,sentiment_coeff
covid,-98.58236561746342
19,-123.52248537017299
pandemic,-124.83661527856609
href_rel,-59.59692212725745
nofollow,-51.60345043823795
cases,-76.445197931794
true_href,-49.364261662163784
rel,-47.13449937052912
crisis,-108.50438909168568
rel_nofollow,-71.0415046956106
twitter,-83.46928296558303
patients,-109.3945785663122
coronavirus,-140.05258901834083
pandemi,-106.75513335161045
due,-108.39517191578607
nofollow_twitter,-48.30771079348612
web,-53.75360317245109
twitter_web,-65.42810130304085
app,-70.62742060763605
via,-110.47471658332142
lockdown,-118.56562384696977
fight,-99.5174034892989
amid,-71.07816177556387
positive,-68.2250316149316
relief,-101.72983599131375
outbreak,-101.07455529841624
response,-103.28407216269538
deaths,-115.07364092165142
bbc_news,-58.18627331421004
testing,-119.60948088765929
sign_petition,-36.82328830947191
casos,-62.699595326410254
masa_pandemi,-27.580492029389845
vaccine,-111.89301705540956
task_force,-51.57057278267055
new,-106.3518793910253
2020,-71.48676869726316
petition,-99.78825330550424
change,-97.34022403050312
sign,-99.85570097822215
death,-115.86151825342087
york_times,-36.99028457502322
di,-119.17391535390253
virus,-114.22086061485415
da,-104.4485639759831
impact,-33.19919724617724
stay_at,-64.96869570334964
home,-115.40874206934045
spread,-121.77956613416069
prices,-98.36513260978596
du,-90.36830217283794
give_subscribers,-74.58742550144488
payment,-82.50449039615968
subscribers_payment,-69.38379299767496
break,-82.80121835821741
pandemia,-89.71444665578592
payment_break,-78.51084941699521
decrease,-80.8160391889228
dstv_give,-79.05118947147297
subscribers,-82.26955191862504
break_decrease,-67.7733727566018
decrease_prices,-31.79268719861413
dstv_dstv,-85.4871743857077
give,-99.60896642859174
test,-121.3084145707934
di_masa,-25.186091908712942
treatment,-94.918299611252
kejahatan,-86.75624622707446
masa,-102.64191627256098
update,-42.655540268988005
android,-57.343081871316826
york_city,-26.151384053468217
ultimas_24,-68.4965110238951
horas,-75.52332866568115
towards_cashless,-65.95391631481537
society,-62.93833855430296
tested,-108.87552031755835
brother,-89.12028795823458
na,-103.13898938084203
cashless_society,-79.66730341036956
know,-100.95110821504231
world,-119.16933571935535
health_organization,-58.7128515923097
died,-119.09324662908725
elizabeth_warren,-92.69955807166293
fighting,-72.4976154091602
suho_bizbizeyeteriz,-29.203798776959083
manu_foraprior,-62.433220499530954
david,-87.60454980688986
prior_jorge,-71.76293300406634
babu,-57.00106208993616
david_mike,-64.7950242933803
lindell,-60.314498675454594
cdtv,-77.37384354566058
prior,-64.38372580317488
trump,-112.19057673871052
foraprior_david,-66.98528700473996
mike,-70.25004276835324
jorge_babu,-66.93109993070556
manu,-63.58849762725349
mike_lindell,-76.6166127925406
made,-102.65837922579473
babu_manu,-65.92458200042459
foraprior,-58.599307572498084
gt_gt,-68.13802050565799
gt,-76.82963199233718
lindell_made,-63.63536862907676
pillow,-70.48352447359072
1trenggalek,-114.2088703389318
23,-87.26022779192427
april,-92.00280984676922
cats,-49.29960326525901
york,-84.13675348142219
patient,-60.15041005605362
covid19,-136.63641853447498
em,-111.8181799690856
post,-70.38970192395482
beat,-104.24189425477043
suggests_injection,-87.7019936012973
disinfectant,-107.57396242321286
markets_au,-84.04180476073797
live_updates,-10.807410305883987
live,-88.55875564257973
staysafe,-46.625297715992346
clean,-87.21641256233673
ini,-105.82859402460785
clean_lungs,-29.608977730033626
dies,-114.51287485754526
related,-58.64418841185144
treat,-87.33187539030021
state,-113.81295329263999
death_toll,-85.6737798070178
at_home,-78.3449440060369
order,-82.89692629115821
budut,-19.459199571614214
antitelami_na,-19.342168783421354
budut_poluchat,-97.91692702507504
poluchat_stimuliruiushchie,-97.49054850544454
vyplaty,-97.4316231918628
krovi_antitelami,-65.07342462035326
stimuliruiushchie,-82.89513585346346
donory_krovi,-99.0927011911851
antitelami,-100.56426969829461
gorodskuiu_novinku,-96.42602416697994
donory,-88.41334987322888
novinku_donory,-95.82172237757229
krovi,-100.26718578230481
penyebaran,-112.72098910063688
long_term,-46.69612934748912
care,-74.82118615436231
situation,-41.376064114532
tests,-117.05879233447953
confirmed,-34.93602945743514
health,-71.41465574714347
care_workers,-45.27332365178747
positif,-41.704535464035615
amp,-122.48243387722704
first,-109.76435492905365
patients_injected,-49.24549395191694
contre,-44.73626490454348
uk,-122.6026038483222
free,-92.84920146793108
nz,-80.7927237821473
us,-110.95500791201678
stay_home,-74.23428936990042
stay,-97.47519258833236
febrero,-83.37726695128116
president_donald,-39.1865652883013
mortes,-35.61488284230501
suggests_injecting,-84.20367711995958
com,-96.57503272257185
president,-104.91961234822148
united_states,0.9986967107233301
pada_masa,-93.7920967632962
may,-104.87291220451186
pada,-104.60708929777847
vaccine_trial,-48.130406528949855
cure,-93.32298081705257
muertes,-34.00911628088501
terhadap,-87.90608684139383
kepolisian,-9.190692854736932
tindakan,-64.77534165679037
abril,-60.666386623839884
covert,-28.874985113434622
society_did,-80.88305024554698
towards_future,-69.03062405007539
cashless,-57.95490543973509
heading_towards,-70.67315914497921
future,-69.75294333988685
did,-68.59368923290187
id_heading,-62.64414599083008
towards,-59.839330926500054
covert_id,-66.5026374123645
heading,-58.56137468802893
future_cashless,-65.88877582994589
could,-120.80869053137712
get,-92.11466790380602
penanganan,-92.98549561668874
infection,-86.41242774253415
case,-93.28807758074568
article,-65.68818133778309
amp_reuters,-60.45209535370758
stay_safe,-59.47684227547796
nuevos,-47.39198327949406
number,-89.58906236271483
know_bible,-79.94336601863056
spoke,-63.91326662804937
time,-101.11473867727038
last_24,-72.40111295122433
hours,-75.69499400717322
positivo,-92.37291017968252
recovery,-103.98083964608016
pacientes,-36.51433072507257
go_back,-54.15963885059799
work,-85.91892475028618
wabah,-82.9727414629771
komisi_iii,-86.91597660980003
avec,1.0011505928086846
comment,-102.14169984866939
est,-115.05069684051539
des,-71.46971835676106
restrictions,-96.22112407570059
exclusive,-72.86921646792291
coverage,-70.89399420834903
epoch_times,-65.85381057566288
know_jesus,-80.58136072739526
coverage_daily,-52.88010764132037
updates,-81.98422616187192
times_app,-67.0423056002896
see,-90.70730265328392
see_exclusive,-21.134754262068814
app_see,-69.59564991003826
second_wave,-28.810070624628292
infected,-85.7329867156363
di_tengah,-74.35400380462094
society_know,-71.18704926708475
bible,-69.65126172848674
emergency,-111.59620022949595
dying,-108.84837328874342
jesus,-76.48458716788454
symptoms,-89.42299715474515
au,-70.97783280645027
mos_hfw,-89.31342311011612
govt,-99.01164763985123
amarprasadreddy_media,-97.34467311511217
advisor,-102.85171984202645
relief_package,-10.34462620563908
using_uv,-88.52171138182412
light,-110.97036790037812
affected,-49.38298340614018
help,-94.4904616364447
former,-100.55582508806151
sisters,-102.31982304369288
via_youtube,-71.2032448008186
missing,-88.70792691028564
crise_du,-26.27950825556344
contagios,-97.7392518152177
counter,-107.89003896406597
suggestion,-96.80862274373366
client,-63.839862246036944
handling,-73.8362073687604
leadership,-107.89977763146378
side,-33.11758812106804
support,-104.46553929115625
message,-95.41685229911462
develop,-105.05678458890972
better,-104.40930992439088
keep,-104.12514658463857
person,-97.41566330786742
dr_birx,-84.78576478280331
reaction,-81.53043264178595
28_days,-34.789088341095464
make,-110.88963063137226
month,-91.44202911377177
my,-85.36258197150464
need,-101.78310057019547
focus,-56.5566233242773
brothers,-82.62351775842517
evil,-40.47961005147569
white_house,-84.48278579486775
people,-121.66502058968767
24_horas,-14.212882551827114
back_work,-47.212119868749774
small_businesses,-7.950735737484644
hospitals,-116.42725601859489
largest,-93.88386896560073
proekte_aktivnyi,1.0002731231366198
national,-88.730338810743
reported,-93.46249965871736
okhw_d19,-19.050840729821843
muertos,-54.57716575001023
tengah_pandemi,-58.6125773677828
two,-108.32766190821643
die,-67.83580150711046
000,-110.79694790603436
positivos,-54.65189674752469
04,-76.01884498217755
study,-115.79486181309062
orders,-95.32495081763113
combat,-41.54377861590566
relief_bill,-40.59448085705154
infections,-81.06430733326312
asks,-78.09282908567336
research,-99.55428848873785
task,-85.41570615991644
hear,-61.13672262181039
2019,-85.70179685177779
things,-108.65982928343838
battle,-91.8059187760649
frente,-74.35978511328331
current,-99.60381752448541
dengan,-121.83577998566513
dr_anthony,-59.28407516484028
fauci,-111.46453367346116
lead,-93.25127220903852
oklahoma,-76.77308390413164
injecting_disinfectant,-80.04771352476048
since,-110.79872808599035
long,-103.82484242832508
brasil,-109.60641793648723
billion,-82.51601118944923
third,-100.8207542794398
country,-105.22460103993852
vacuna,-103.72992706236172
otsenil_gorodskuiu,-86.72504445076274
novinku,-103.83883333680635
small_business,1.0011444150862288
namo_app,-34.4235226972454
lungs_via,-94.90495569126975
nbcnews,-105.60907246588627
disease_2019,-13.719869456436856
days,-91.15508724983448
like,-88.14762495616472
otsenila_gorodskuiu,-87.34454392818023
sen,-124.95724839255803
medidas,-118.11948294637476
pais,-105.96922801949117
et,-97.42481111457461
killing,-93.58215353765495
confirmados,-29.31240670850072
contingencia,-11.462771219577835
jangan,-95.3714154318899
gobierno,-100.5022526922289
slow_spread,-56.776321725954716
dan,-118.11329901268864
500,-56.17293067512777
underlying,-46.5054149638885
contagio,-72.28686455070172
human_rights,1.002390722501078
pruebas,-100.26019290965836
antibody,-67.55886865552256
risk,-96.64114411471046
must_read,-71.11117222165089
posible,-49.85818007676535
casos_confirmados,-28.06724575540315
lucha,-80.92976283518844
house_passes,-85.37651058741507
ri,-125.46939054562668
total,-55.498262090301786
complications,-74.57514694259018
108,-33.60520575204418
ny,-103.6111372678401
champion,-77.57164032649489
team,-104.94276117740465
needs,-113.83856557421402
data,-110.74711027342207
drug,-101.81401290091922
