time_period,value,CASE_RATE,HOSPITALIZED_RATE,sentiment__negative,sentiment__positive,indicator
1.0,28.7,171.46,13.55,500.0,50.0,1.0
1.0,28.7,1554.45,153.69,500.0,50.0,1.0
1.0,28.7,2529.03,630.34,500.0,50.0,1.0
1.0,28.7,2552.64,1192.5,500.0,50.0,1.0
1.0,28.7,2976.74,1830.07,500.0,50.0,1.0
1.0,28.7,1687.8,437.24,500.0,50.0,1.0
1.0,36.1,171.46,13.55,500.0,50.0,0.0
1.0,36.1,1554.45,153.69,500.0,50.0,0.0
1.0,36.1,2529.03,630.34,500.0,50.0,0.0
1.0,36.1,2552.64,1192.5,500.0,50.0,0.0
1.0,36.1,2976.74,1830.07,500.0,50.0,0.0
1.0,36.1,1687.8,437.24,500.0,50.0,0.0
1.0,41.4,171.46,13.55,500.0,50.0,2.0
1.0,41.4,1554.45,153.69,500.0,50.0,2.0
1.0,41.4,2529.03,630.34,500.0,50.0,2.0
1.0,41.4,2552.64,1192.5,500.0,50.0,2.0
1.0,41.4,2976.74,1830.07,500.0,50.0,2.0
1.0,41.4,1687.8,437.24,500.0,50.0,2.0
1.0,28.7,171.46,13.55,500.0,50.0,1.0
1.0,28.7,1554.45,153.69,500.0,50.0,1.0
1.0,28.7,2529.03,630.34,500.0,50.0,1.0
1.0,28.7,2552.64,1192.5,500.0,50.0,1.0
1.0,28.7,2976.74,1830.07,500.0,50.0,1.0
1.0,28.7,1687.8,437.24,500.0,50.0,1.0
1.0,36.1,171.46,13.55,500.0,50.0,0.0
1.0,36.1,1554.45,153.69,500.0,50.0,0.0
1.0,36.1,2529.03,630.34,500.0,50.0,0.0
1.0,36.1,2552.64,1192.5,500.0,50.0,0.0
1.0,36.1,2976.74,1830.07,500.0,50.0,0.0
1.0,36.1,1687.8,437.24,500.0,50.0,0.0
1.0,41.4,171.46,13.55,500.0,50.0,2.0
1.0,41.4,1554.45,153.69,500.0,50.0,2.0
1.0,41.4,2529.03,630.34,500.0,50.0,2.0
1.0,41.4,2552.64,1192.5,500.0,50.0,2.0
1.0,41.4,2976.74,1830.07,500.0,50.0,2.0
1.0,41.4,1687.8,437.24,500.0,50.0,2.0
1.0,28.7,171.46,13.55,500.0,50.0,1.0
1.0,28.7,1554.45,153.69,500.0,50.0,1.0
1.0,28.7,2529.03,630.34,500.0,50.0,1.0
1.0,28.7,2552.64,1192.5,500.0,50.0,1.0
1.0,28.7,2976.74,1830.07,500.0,50.0,1.0
1.0,28.7,1687.8,437.24,500.0,50.0,1.0
1.0,36.1,171.46,13.55,500.0,50.0,0.0
1.0,36.1,1554.45,153.69,500.0,50.0,0.0
1.0,36.1,2529.03,630.34,500.0,50.0,0.0
1.0,36.1,2552.64,1192.5,500.0,50.0,0.0
1.0,36.1,2976.74,1830.07,500.0,50.0,0.0
1.0,36.1,1687.8,437.24,500.0,50.0,0.0
1.0,41.4,171.46,13.55,500.0,50.0,2.0
1.0,41.4,1554.45,153.69,500.0,50.0,2.0
1.0,41.4,2529.03,630.34,500.0,50.0,2.0
1.0,41.4,2552.64,1192.5,500.0,50.0,2.0
1.0,41.4,2976.74,1830.07,500.0,50.0,2.0
1.0,41.4,1687.8,437.24,500.0,50.0,2.0
1.0,28.7,171.46,13.55,500.0,50.0,1.0
1.0,28.7,1554.45,153.69,500.0,50.0,1.0
1.0,28.7,2529.03,630.34,500.0,50.0,1.0
1.0,28.7,2552.64,1192.5,500.0,50.0,1.0
1.0,28.7,2976.74,1830.07,500.0,50.0,1.0
1.0,28.7,1687.8,437.24,500.0,50.0,1.0
1.0,36.1,171.46,13.55,500.0,50.0,0.0
1.0,36.1,1554.45,153.69,500.0,50.0,0.0
1.0,36.1,2529.03,630.34,500.0,50.0,0.0
1.0,36.1,2552.64,1192.5,500.0,50.0,0.0
1.0,36.1,2976.74,1830.07,500.0,50.0,0.0
1.0,36.1,1687.8,437.24,500.0,50.0,0.0
1.0,41.4,171.46,13.55,500.0,50.0,2.0
1.0,41.4,1554.45,153.69,500.0,50.0,2.0
1.0,41.4,2529.03,630.34,500.0,50.0,2.0
1.0,41.4,2552.64,1192.5,500.0,50.0,2.0
1.0,41.4,2976.74,1830.07,500.0,50.0,2.0
1.0,41.4,1687.8,437.24,500.0,50.0,2.0
1.0,28.7,171.46,13.55,500.0,50.0,1.0
1.0,28.7,1554.45,153.69,500.0,50.0,1.0
1.0,28.7,2529.03,630.34,500.0,50.0,1.0
1.0,28.7,2552.64,1192.5,500.0,50.0,1.0
1.0,28.7,2976.74,1830.07,500.0,50.0,1.0
1.0,28.7,1687.8,437.24,500.0,50.0,1.0
1.0,36.1,171.46,13.55,500.0,50.0,0.0
1.0,36.1,1554.45,153.69,500.0,50.0,0.0
1.0,36.1,2529.03,630.34,500.0,50.0,0.0
1.0,36.1,2552.64,1192.5,500.0,50.0,0.0
1.0,36.1,2976.74,1830.07,500.0,50.0,0.0
1.0,36.1,1687.8,437.24,500.0,50.0,0.0
1.0,41.4,171.46,13.55,500.0,50.0,2.0
1.0,41.4,1554.45,153.69,500.0,50.0,2.0
1.0,41.4,2529.03,630.34,500.0,50.0,2.0
1.0,41.4,2552.64,1192.5,500.0,50.0,2.0
1.0,41.4,2976.74,1830.07,500.0,50.0,2.0
1.0,41.4,1687.8,437.24,500.0,50.0,2.0
1.0,28.7,171.46,13.55,500.0,50.0,1.0
1.0,28.7,1554.45,153.69,500.0,50.0,1.0
1.0,28.7,2529.03,630.34,500.0,50.0,1.0
1.0,28.7,2552.64,1192.5,500.0,50.0,1.0
1.0,28.7,2976.74,1830.07,500.0,50.0,1.0
1.0,28.7,1687.8,437.24,500.0,50.0,1.0
1.0,36.1,171.46,13.55,500.0,50.0,0.0
