date,counts,sentiment__negative,sentiment__positive
2020-04-23,295066.0,500.0,50.0
2020-04-24,284960.0,488.0,62.0
2020-04-25,274456.0,505.0,45.0
2020-04-26,274461.0,506.0,44.0
2020-04-27,287784.0,496.0,54.0
2020-04-28,312076.0,506.0,44.0
2020-04-29,296516.0,492.0,58.0
2020-04-30,274671.0,507.0,43.0
2020-08-01,521688.0,506.0,44.0
2020-08-02,605159.0,487.0,63.0
2020-08-03,664726.0,504.0,46.0
2020-08-04,644655.0,499.0,51.0
2020-08-05,631146.0,488.0,62.0
2020-08-06,673491.0,495.0,55.0
2020-08-07,646802.0,507.0,43.0
2020-08-08,492753.0,491.0,59.0
2020-08-09,554302.0,487.0,63.0
2020-08-10,620373.0,498.0,52.0
2020-08-11,794609.0,500.0,50.0
2020-08-12,610367.0,502.0,48.0
2020-08-13,635105.0,496.0,54.0
2020-08-14,599295.0,501.0,49.0
2020-08-15,400180.0,495.0,55.0
2020-08-16,455664.0,510.0,40.0
2020-08-17,586655.0,499.0,51.0
2020-08-18,575725.0,502.0,48.0
2020-08-19,589146.0,506.0,44.0
2020-08-20,457936.0,498.0,52.0
2020-08-21,490215.0,500.0,50.0
2020-08-22,431801.0,502.0,48.0
2020-08-23,511419.0,501.0,49.0
2020-08-24,575785.0,495.0,55.0
2020-08-25,603086.0,501.0,49.0
2020-08-26,536250.0,507.0,43.0
2020-08-27,700285.0,506.0,44.0
2020-08-28,634314.0,507.0,43.0
2020-08-29,586066.0,507.0,43.0
2020-08-30,550566.0,512.0,38.0
2020-08-31,651580.0,507.0,43.0
2020-12-01,498702.0,482.0,68.0
2020-12-02,624873.0,488.0,62.0
2020-12-03,661520.0,494.0,56.0
2020-12-04,520374.0,503.0,47.0
2020-12-05,383049.0,502.0,48.0
2020-12-06,436362.0,488.0,62.0
2020-12-07,543420.0,489.0,61.0
2020-12-08,723466.0,497.0,53.0
2020-12-09,585074.0,490.0,60.0
2020-12-10,576418.0,483.0,67.0
2020-12-11,523790.0,487.0,63.0
2020-12-12,413182.0,484.0,66.0
2020-12-13,388217.0,490.0,60.0
2020-12-14,601347.0,494.0,56.0
2020-12-15,517048.0,487.0,63.0
2020-12-16,549073.0,494.0,56.0
2020-12-17,614671.0,499.0,51.0
2020-12-18,563302.0,490.0,60.0
2020-12-19,438973.0,494.0,56.0
2020-12-20,559512.0,507.0,43.0
2020-12-21,702606.0,506.0,44.0
2020-12-22,666692.0,506.0,44.0
2020-12-23,682478.0,511.0,39.0
2020-12-24,420541.0,502.0,48.0
2020-12-25,309043.0,503.0,47.0
2020-12-26,360698.0,506.0,44.0
